HEAT: 	INITIALIZED
2023-10-26 23:24:09.683338	HEAT: 	OFF
LGHT: 	INITIALIZED
2023-10-26 23:24:09.698346	LGHT: 	OFF
FAN INITIALIZED
2023-10-26 23:24:09.710740	FAN : 	OFF
AIR : 	INITIALIZED
2023-10-26 23:24:09.711045	AIR : 	OFF
PUMP: 	INITIALIZED
2023-10-26 23:24:09.711131	PUMP: 	OFF
Airstone thread started
Waterpump thread started
Heater thread started
Light thread started
Fan thread started
2023-10-26 23:24:13.315640	HEAT-> 	Temperature=17.0°, Humidity=97.5%
2023-10-26 23:24:13.315848	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:24:13.840341	FAN -> 	Temperature=17.0°, Humidity=97.5%
2023-10-26 23:24:13.840550	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:24:13.840597	FAN :	Waiting for 1 minute before next check
2023-10-26 23:25:29.961462	FAN -> 	Temperature=17.0°, Humidity=97.4%
2023-10-26 23:25:29.961804	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:25:29.961936	FAN :	Waiting for 1 minute before next check
2023-10-26 23:25:31.960800	HEAT-> 	Temperature=17.0°, Humidity=97.5%
2023-10-26 23:25:31.960946	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:26:30.487638	FAN -> 	Temperature=17.0°, Humidity=97.4%
2023-10-26 23:26:30.487968	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:26:30.488099	FAN :	Waiting for 1 minute before next check
2023-10-26 23:26:32.486473	HEAT-> 	Temperature=17.0°, Humidity=97.5%
2023-10-26 23:26:32.486785	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:27:33.012307	HEAT-> 	Temperature=17.0°, Humidity=97.6%
2023-10-26 23:27:33.012616	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:27:36.075208	FAN -> 	Temperature=17.0°, Humidity=97.7%
2023-10-26 23:27:36.075523	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:27:36.075654	FAN :	Waiting for 1 minute before next check
2023-10-26 23:28:33.538228	HEAT-> 	Temperature=17.0°, Humidity=97.7%
2023-10-26 23:28:33.538560	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:28:36.601104	FAN -> 	Temperature=17.0°, Humidity=97.6%
2023-10-26 23:28:36.601407	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:28:36.601536	FAN :	Waiting for 1 minute before next check
2023-10-26 23:29:34.064163	HEAT-> 	Temperature=17.0°, Humidity=97.7%
2023-10-26 23:29:34.064488	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:29:37.126906	FAN -> 	Temperature=17.0°, Humidity=97.6%
2023-10-26 23:29:37.127259	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:29:37.127391	FAN :	Waiting for 1 minute before next check
2023-10-26 23:30:34.590046	HEAT-> 	Temperature=17.0°, Humidity=97.6%
2023-10-26 23:30:34.590353	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:30:37.652898	FAN -> 	Temperature=17.0°, Humidity=97.6%
2023-10-26 23:30:37.653194	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:30:37.653317	FAN :	Waiting for 1 minute before next check
2023-10-26 23:31:35.115989	HEAT-> 	Temperature=17.0°, Humidity=97.5%
2023-10-26 23:31:35.116254	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:31:38.178909	FAN -> 	Temperature=17.0°, Humidity=97.5%
2023-10-26 23:31:38.179205	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:31:38.179304	FAN :	Waiting for 1 minute before next check
2023-10-26 23:32:35.642067	HEAT-> 	Temperature=17.0°, Humidity=97.5%
2023-10-26 23:32:35.643226	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:32:38.704793	FAN -> 	Temperature=17.0°, Humidity=97.6%
2023-10-26 23:32:38.705087	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:32:38.705196	FAN :	Waiting for 1 minute before next check
2023-10-26 23:33:36.169449	HEAT-> 	Temperature=17.0°, Humidity=97.5%
2023-10-26 23:33:36.170911	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:33:39.230724	FAN -> 	Temperature=17.0°, Humidity=97.5%
2023-10-26 23:33:39.231069	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:33:39.231190	FAN :	Waiting for 1 minute before next check
2023-10-26 23:34:36.697484	HEAT-> 	Temperature=17.0°, Humidity=97.6%
2023-10-26 23:34:36.697770	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:34:39.756777	FAN -> 	Temperature=17.0°, Humidity=97.5%
2023-10-26 23:34:39.757923	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:34:39.758798	FAN :	Waiting for 1 minute before next check
2023-10-26 23:35:37.223427	HEAT-> 	Temperature=17.0°, Humidity=97.5%
2023-10-26 23:35:37.224721	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:35:40.285038	FAN -> 	Temperature=17.0°, Humidity=97.7%
2023-10-26 23:35:40.285943	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:35:40.286098	FAN :	Waiting for 1 minute before next check
2023-10-26 23:36:37.751166	HEAT-> 	Temperature=17.0°, Humidity=97.6%
2023-10-26 23:36:37.752297	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:36:40.811647	FAN -> 	Temperature=17.0°, Humidity=97.6%
2023-10-26 23:36:40.811964	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:36:40.812088	FAN :	Waiting for 1 minute before next check
2023-10-26 23:37:38.278504	HEAT-> 	Temperature=17.0°, Humidity=97.6%
2023-10-26 23:37:38.279835	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:37:41.337658	FAN -> 	Temperature=17.0°, Humidity=97.5%
2023-10-26 23:37:41.337957	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:37:41.338066	FAN :	Waiting for 1 minute before next check
2023-10-26 23:38:38.806241	HEAT-> 	Temperature=17.0°, Humidity=97.7%
2023-10-26 23:38:38.807180	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:38:41.863623	FAN -> 	Temperature=17.0°, Humidity=97.6%
2023-10-26 23:38:41.863956	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:38:41.864080	FAN :	Waiting for 1 minute before next check
2023-10-26 23:39:39.332665	HEAT-> 	Temperature=17.0°, Humidity=97.6%
2023-10-26 23:39:39.332973	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:39:42.389557	FAN -> 	Temperature=17.0°, Humidity=97.6%
2023-10-26 23:39:42.389882	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:39:42.390006	FAN :	Waiting for 1 minute before next check
2023-10-26 23:40:39.858542	HEAT-> 	Temperature=17.0°, Humidity=97.5%
2023-10-26 23:40:39.858861	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:40:42.915664	FAN -> 	Temperature=17.0°, Humidity=97.5%
2023-10-26 23:40:42.916013	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:40:42.916135	FAN :	Waiting for 1 minute before next check
2023-10-26 23:41:42.914542	HEAT-> 	Temperature=17.0°, Humidity=97.7%
2023-10-26 23:41:42.914861	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:41:43.441561	FAN -> 	Temperature=17.0°, Humidity=97.6%
2023-10-26 23:41:43.441935	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:41:43.442067	FAN :	Waiting for 1 minute before next check
2023-10-26 23:42:43.440421	HEAT-> 	Temperature=17.0°, Humidity=97.7%
2023-10-26 23:42:43.441566	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:42:46.492687	FAN -> 	Temperature=17.0°, Humidity=97.6%
2023-10-26 23:42:46.492980	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:42:46.493087	FAN :	Waiting for 1 minute before next check
2023-10-26 23:43:43.967921	HEAT-> 	Temperature=17.0°, Humidity=97.6%
2023-10-26 23:43:43.968214	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:43:47.018655	FAN -> 	Temperature=16.9°, Humidity=97.5%
2023-10-26 23:43:47.018996	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:43:47.019132	FAN :	Waiting for 1 minute before next check
2023-10-26 23:44:44.493714	HEAT-> 	Temperature=16.9°, Humidity=97.6%
2023-10-26 23:44:44.494058	HEAT: 	ON
2023-10-26 23:44:44.494185	HEAT: 	 ON
2023-10-26 23:44:44.494290	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:44:47.543901	FAN -> 	Temperature=17.0°, Humidity=97.6%
2023-10-26 23:44:47.544063	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:44:47.544110	FAN :	Waiting for 1 minute before next check
2023-10-26 23:45:45.019838	HEAT-> 	Temperature=16.9°, Humidity=97.7%
2023-10-26 23:45:45.020142	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:45:48.069501	FAN -> 	Temperature=17.0°, Humidity=97.7%
2023-10-26 23:45:48.069878	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:45:48.070002	FAN :	Waiting for 1 minute before next check
2023-10-26 23:46:45.545717	HEAT-> 	Temperature=17.0°, Humidity=97.8%
2023-10-26 23:46:45.546025	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:46:48.595637	FAN -> 	Temperature=16.9°, Humidity=97.8%
2023-10-26 23:46:48.595984	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:46:48.596109	FAN :	Waiting for 1 minute before next check
2023-10-26 23:47:48.602019	HEAT-> 	Temperature=16.9°, Humidity=97.7%
2023-10-26 23:47:48.602464	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:47:51.652801	FAN -> 	Temperature=17.0°, Humidity=97.8%
2023-10-26 23:47:51.653101	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:47:51.653226	FAN :	Waiting for 1 minute before next check
2023-10-26 23:48:49.128198	HEAT-> 	Temperature=17.0°, Humidity=97.8%
2023-10-26 23:48:49.128507	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:48:52.178046	FAN -> 	Temperature=17.0°, Humidity=97.7%
2023-10-26 23:48:52.178202	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:48:52.178246	FAN :	Waiting for 1 minute before next check
2023-10-26 23:49:49.653279	HEAT-> 	Temperature=17.0°, Humidity=97.6%
2023-10-26 23:49:49.653812	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:49:52.703785	FAN -> 	Temperature=17.0°, Humidity=97.6%
2023-10-26 23:49:52.704091	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:49:52.704214	FAN :	Waiting for 1 minute before next check
2023-10-26 23:50:50.179626	HEAT-> 	Temperature=16.9°, Humidity=97.7%
2023-10-26 23:50:50.179923	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:50:53.229755	FAN -> 	Temperature=17.0°, Humidity=97.7%
2023-10-26 23:50:53.230073	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:50:53.230202	FAN :	Waiting for 1 minute before next check
2023-10-26 23:51:50.704907	HEAT-> 	Temperature=17.0°, Humidity=97.6%
2023-10-26 23:51:50.705075	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:51:53.755028	FAN -> 	Temperature=17.0°, Humidity=97.6%
2023-10-26 23:51:53.755891	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:51:53.756264	FAN :	Waiting for 1 minute before next check
2023-10-26 23:52:51.230486	HEAT-> 	Temperature=17.0°, Humidity=97.6%
